"scientific_name","coordUncert","x","y","source"
"Sarcoscypha sp",50,23.370507,49.61983,"UkrBin"
"Sarcoscypha sp",50,24.069944,49.820306,"UkrBin"
"Sarcoscypha sp",50,23.994581,49.509247,"UkrBin"
"Sarcoscypha sp",50,31.665237,49.365467,"UkrBin"
"Sarcoscypha sp",50,30.43794,50.529667,"personal_comm"
"Sarcoscypha sp",100,30.504722,50.370333,"personal_comm"
"Sarcoscypha sp",50,30.165861,50.683667,"personal_comm"
"Sarcoscypha sp",50,29.925278,50.740417,"personal_comm"
"Sarcoscypha sp",100,30.681028,50.534528,"personal_comm"
"Sarcoscypha sp",50,25.520285,49.529779,"personal_comm"
"Sarcoscypha sp",50,22.3676236,48.5967969,"FB"
"Sarcoscypha sp",50,30.523861,50.358639,"FB"
"Sarcoscypha sp",30,30.6381214,51.511566554,"FB"
"Sarcoscypha sp",50,26.118586,49.337136,"FB"
"Sarcoscypha sp",50,25.55579,49.578592,"personal_comm"
"Sarcoscypha sp",50,35.17714,47.74358,"FB"
"Sarcoscypha sp",50,24.610475,48.405953,"personal_comm"
"Sarcoscypha sp",30,25.6616961,48.1072016,"personal_comm"
"Sarcoscypha sp",30,25.6616961,48.1072016,"personal_comm"
"Sarcoscypha sp",30,25.6616961,48.1072016,"personal_comm"
"Sarcoscypha sp",30,25.6616961,48.1072016,"personal_comm"
"Sarcoscypha sp",30,25.8056942,48.165646,"personal_comm"
"Sarcoscypha sp",30,25.9174709,48.2944852,"personal_comm"
"Sarcoscypha sp",30,25.9174709,48.2944852,"personal_comm"
"Sarcoscypha sp",30,25.7795722,48.2168592,"personal_comm"
"Sarcoscypha sp",30,25.7795722,48.2168592,"personal_comm"
"Sarcoscypha sp",30,25.7795722,48.2168592,"personal_comm"
"Sarcoscypha sp",30,25.7795722,48.2168592,"personal_comm"
"Sarcoscypha sp",200,27.603057,50.3507134,"FB"
"Sarcoscypha sp",200,25.9888,48.29333388,"FB"
"Sarcoscypha sp",50,26.1876806,49.22165,"FB"
"Sarcoscypha sp",50,26.1928944,49.2213806,"FB"
"Sarcoscypha sp",50,25.8283152,49.13477933,"FB"
"Sarcoscypha sp",200,25.934145,50.770014,"UkrBin"
"Sarcoscypha sp",200,24.062583,49.824611,"UkrBin"
"Sarcoscypha sp",200,24.067306,49.827972,"UkrBin"
"Sarcoscypha sp",200,26.250876,50.679836,"FB"
"Sarcoscypha sp",50,28.7205946,50.7460605,"FB"
"Sarcoscypha sp",50,31.46990108,51.01815947,"FB"
"Sarcoscypha sp",200,32.3405507,48.8607447,"FB"
"Sarcoscypha sp",50,33.330599,49.032563,"FB"
"Sarcoscypha sp",200,25.811238,48.4354968,"FB"
"Sarcoscypha sp",200,30.483837,50.350355,"UkrBin"
"Sarcoscypha sp",200,25.953844,50.763053,"UkrBin"
"Sarcoscypha sp",200,30.134334,49.742596,"UkrBin"
"Sarcoscypha sp",31,33.6431890189,44.4723553642,"iNaturalist"
"Sarcoscypha sp",5,24.1800844297,48.9757636562,"iNaturalist"
"Sarcoscypha sp",31,30.4980569036,50.3710267644,"iNaturalist"
"Sarcoscypha sp",31,33.1648447359,50.8807513323,"iNaturalist"
"Sarcoscypha sp",10,30.5099374289,50.3767357132,"iNaturalist"
"Sarcoscypha sp",10,30.5092602863,50.3765908348,"iNaturalist"
